# Wavelength,Intensity
1.897711944580078125e+02,1.392219970703125000e+03
1.902398681640625000e+02,1.392219970703125000e+03
1.907085266113281250e+02,1.386268798828125000e+03
1.911771697998046875e+02,1.393211914062500000e+03
1.916457824707031250e+02,1.392219970703125000e+03
1.921143646240234375e+02,1.394203735351562500e+03
1.925829315185546875e+02,1.387260620117187500e+03
1.930514831542968750e+02,1.390236206054687500e+03
1.935200042724609375e+02,1.390236206054687500e+03
1.939885101318359375e+02,1.392219970703125000e+03
1.944569854736328125e+02,1.385276977539062500e+03
1.949254455566406250e+02,1.383293579101562500e+03
1.953938903808593750e+02,1.390236206054687500e+03
1.958623046875000000e+02,1.392219970703125000e+03
1.963306884765625000e+02,1.388252563476562500e+03
1.967990570068359375e+02,1.394203735351562500e+03
1.972674102783203125e+02,1.385276977539062500e+03
1.977357330322265625e+02,1.394203735351562500e+03
1.982040405273437500e+02,1.388252563476562500e+03
1.986723175048828125e+02,1.396187744140625000e+03
1.991405792236328125e+02,1.391228149414062500e+03
1.996088256835937500e+02,1.391228149414062500e+03
2.000770416259765625e+02,1.388252563476562500e+03
2.005452270507812500e+02,1.390236206054687500e+03
2.010134124755859375e+02,1.388252563476562500e+03
2.014815521240234375e+02,1.400155883789062500e+03
2.019496917724609375e+02,1.387260620117187500e+03
2.024177856445312500e+02,1.395195800781250000e+03
2.028858795166015625e+02,1.395195800781250000e+03
2.033539428710937500e+02,1.383293579101562500e+03
2.038219757080078125e+02,1.382301757812500000e+03
2.042899932861328125e+02,1.391228149414062500e+03
2.047579956054687500e+02,1.388252563476562500e+03
2.052259674072265625e+02,1.391228149414062500e+03
2.056939239501953125e+02,1.392219970703125000e+03
2.061618499755859375e+02,1.395195800781250000e+03
2.066297607421875000e+02,1.387260620117187500e+03
2.070976409912109375e+02,1.395195800781250000e+03
2.075655059814453125e+02,1.387260620117187500e+03
2.080333557128906250e+02,1.395195800781250000e+03
2.085011749267578125e+02,1.389244262695312500e+03
2.089689636230468750e+02,1.392219970703125000e+03
2.094367523193359375e+02,1.389244262695312500e+03
2.099044952392578125e+02,1.396187744140625000e+03
2.103722229003906250e+02,1.389244262695312500e+03
2.108399353027343750e+02,1.399163818359375000e+03
2.113076324462890625e+02,1.399163818359375000e+03
2.117752990722656250e+02,1.390236206054687500e+03
2.122429351806640625e+02,1.393211914062500000e+03
2.127105560302734375e+02,1.393211914062500000e+03
2.131781616210937500e+02,1.394203735351562500e+03
2.136457366943359375e+02,1.390236206054687500e+03
2.141132812500000000e+02,1.390236206054687500e+03
2.145808105468750000e+02,1.389244262695312500e+03
2.150483245849609375e+02,1.393211914062500000e+03
2.155158233642578125e+02,1.395195800781250000e+03
2.159832763671875000e+02,1.389244262695312500e+03
2.164507293701171875e+02,1.394203735351562500e+03
2.169181518554687500e+02,1.388252563476562500e+03
2.173855438232421875e+02,1.390236206054687500e+03
2.178529205322265625e+02,1.396187744140625000e+03
2.183202819824218750e+02,1.403132324218750000e+03
2.187876129150390625e+02,1.390236206054687500e+03
2.192549285888671875e+02,1.383293579101562500e+03
2.197222137451171875e+02,1.402140136718750000e+03
2.201894836425781250e+02,1.386268798828125000e+03
2.206567230224609375e+02,1.390236206054687500e+03
2.211239471435546875e+02,1.388252563476562500e+03
2.215911407470703125e+02,1.398171752929687500e+03
2.220583190917968750e+02,1.388252563476562500e+03
2.225254821777343750e+02,1.391228149414062500e+03
2.229926147460937500e+02,1.386268798828125000e+03
2.234597167968750000e+02,1.393211914062500000e+03
2.239268188476562500e+02,1.391228149414062500e+03
2.243938751220703125e+02,1.388252563476562500e+03
2.248609313964843750e+02,1.395195800781250000e+03
2.253279418945312500e+02,1.391228149414062500e+03
2.257949523925781250e+02,1.392219970703125000e+03
2.262619323730468750e+02,1.387260620117187500e+03
2.267288818359375000e+02,1.392219970703125000e+03
2.271958160400390625e+02,1.394203735351562500e+03
2.276627197265625000e+02,1.389244262695312500e+03
2.281296081542968750e+02,1.391228149414062500e+03
2.285964813232421875e+02,1.389244262695312500e+03
2.290633239746093750e+02,1.395195800781250000e+03
2.295301513671875000e+02,1.389244262695312500e+03
2.299969482421875000e+02,1.389244262695312500e+03
2.304637298583984375e+02,1.393211914062500000e+03
2.309304809570312500e+02,1.392219970703125000e+03
2.313972167968750000e+02,1.387260620117187500e+03
2.318639221191406250e+02,1.388252563476562500e+03
2.323306121826171875e+02,1.392219970703125000e+03
2.327972717285156250e+02,1.389244262695312500e+03
2.332639160156250000e+02,1.387260620117187500e+03
2.337305450439453125e+02,1.390236206054687500e+03
2.341971435546875000e+02,1.397179809570312500e+03
2.346637268066406250e+02,1.385276977539062500e+03
2.351302795410156250e+02,1.399163818359375000e+03
2.355968017578125000e+02,1.398171752929687500e+03
2.360633239746093750e+02,1.387260620117187500e+03
2.365298156738281250e+02,1.404124389648437500e+03
2.369962768554687500e+02,1.393211914062500000e+03
2.374627227783203125e+02,1.392219970703125000e+03
2.379291381835937500e+02,1.389244262695312500e+03
2.383955383300781250e+02,1.389244262695312500e+03
2.388619079589843750e+02,1.382301757812500000e+03
2.393282623291015625e+02,1.388252563476562500e+03
2.397946014404296875e+02,1.389244262695312500e+03
2.402609100341796875e+02,1.388252563476562500e+03
2.407271881103515625e+02,1.389244262695312500e+03
2.411934661865234375e+02,1.388252563476562500e+03
2.416596984863281250e+02,1.385276977539062500e+03
2.421259155273437500e+02,1.388252563476562500e+03
2.425921173095703125e+02,1.408093139648437500e+03
2.430582885742187500e+02,1.390236206054687500e+03
2.435244445800781250e+02,1.386268798828125000e+03
2.439905700683593750e+02,1.395195800781250000e+03
2.444566802978515625e+02,1.392219970703125000e+03
2.449227752685546875e+02,1.380318359375000000e+03
2.453888397216796875e+02,1.383293579101562500e+03
2.458548736572265625e+02,1.400155883789062500e+03
2.463208923339843750e+02,1.385276977539062500e+03
2.467868957519531250e+02,1.402140136718750000e+03
2.472528686523437500e+02,1.396187744140625000e+03
2.477188110351562500e+02,1.391228149414062500e+03
2.481847381591796875e+02,1.390236206054687500e+03
2.486506500244140625e+02,1.395195800781250000e+03
2.491165313720703125e+02,1.392219970703125000e+03
2.495823974609375000e+02,1.381310058593750000e+03
2.500482330322265625e+02,1.397179809570312500e+03
